Dimension, Obstacles, Seed, Algorithm, Time, Nodes Expanded, Plan Length, Error, Plan, Env
4x4, 0, 3735929054, bfs, 0.32, 89, 7, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 3735929054, ucs, 0.19, 52, 7, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 3735929054, gbfs, 0.04, 8, 7, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 3735929054, astar, 0.19, 52, 7, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 3735929054, custom-astar, 0.20, 52, 7, None, MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
4x4, 0, 195936467, bfs, 0.40, 99, 8, None, MoveF_TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW, canWorld
4x4, 0, 195936467, ucs, 0.32, 110, 8, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF, canWorld
4x4, 0, 195936467, gbfs, 1.13, 396, 8, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF, canWorld
4x4, 0, 195936467, astar, 0.27, 100, 8, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF, canWorld
4x4, 0, 195936467, custom-astar, 0.28, 100, 8, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF, canWorld
4x4, 0, 20493, bfs, 0.70, 239, 12, None, MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW, canWorld
4x4, 0, 20493, ucs, 0.93, 254, 12, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF, canWorld
4x4, 0, 20493, gbfs, 1.46, 462, 12, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF, canWorld
4x4, 0, 20493, astar, 0.73, 240, 12, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF, canWorld
